,neg,neu,pos,compound,genres,PCA1,PCA2
0,0.147,0.649,0.204,1.0,action,-0.244531927358136,0.2250092040151261
1,0.13,0.666,0.204,0.999,adult,-0.9004416566523911,4.82749287696639
2,0.167,0.649,0.184,1.0,adventure,-1.795485259724877,-0.821244420111452
3,0.157,0.643,0.199,1.0,animation,-0.5497925841789181,-0.49640839928148706
4,0.171,0.63,0.199,1.0,biography,-0.47445360965758526,-1.6405881394704451
5,0.159,0.638,0.204,1.0,comedy,-0.1858052318675649,-0.750324858547103
6,0.148,0.649,0.203,1.0,crime,-0.3220795939764719,0.1726965228087976
7,0.142,0.62,0.238,1.0,documentary,2.6329667836113666,-0.44462196055726194
8,0.162,0.644,0.194,1.0,drama,-0.978477895964602,-0.720231802114986
9,0.135,0.637,0.228,1.0,family,1.716285745666523,0.46743948720664513
10,0.152,0.631,0.217,1.0,fantasy,0.9130982499571004,-0.6145370389431596
11,0.124,0.653,0.224,1.0,film-noir,1.2405560077684645,1.5622713477799433
12,0.17,0.646,0.185,1.0,history,-1.725660013739015,-1.0688830909604363
13,0.16,0.637,0.202,1.0,horror,-0.267312747231622,-0.8460073885426874
14,0.133,0.631,0.235,1.0,music,2.3415970882657837,0.3737740583859792
15,0.15,0.626,0.224,1.0,musical,1.4974626138623641,-0.6704624645656796
16,0.158,0.656,0.186,1.0,mystery,-1.698532903095868,-0.12565918600524262
17,0.159,0.636,0.205,1.0,romance,-0.05900444703984871,-0.820175019352284
18,0.149,0.659,0.191,1.0,sci-fi,-1.3030721493717075,0.4358555720817148
19,0.141,0.642,0.217,1.0,short,0.821730715287912,0.3141141880038508
20,0.131,0.64,0.229,1.0,sport,1.7689149937387176,0.7730206848530679
21,0.147,0.653,0.201,1.0,thriller,-0.5430403244532868,0.3590796800343789
22,0.163,0.625,0.212,1.0,war,0.5751967539576999,-1.382637477854992
23,0.149,0.673,0.178,1.0,western,-2.4601186078040387,0.8910276241713234
